city,country,population,EU,coastline,latitude,longitude,temperature
Elbasan,Albania,2.9,yes,yes,41.12,20.08,
Andorra,Andorra,7.4,no,no,42.5,1.52,
Chow,Albania,2.9,no,yes,,11.41,
Rike,Andorra,7.4,no,no,23.87,,74.28
Sinef,Austria,5.23,yes,no,,19.82,
Dieut,Albania,2.9,no,yes,48.32,17.29,6.79
Salzburg,Austria,5.23,yes,no,47.81,,8.20
heop,Austria,5.23,yes,no,47.81,,12.21
Shutu,Mexico,29.21,no,no,54.28,26.89,4.62
Gefg,Albania,2.9,yes,yes,53.13,24.68,15.18
Seoul,Korea,3.2,yes,yes,52.43,24.68,24.24
Kilfi,Albania,2.9,no,yes,24.19,11.41,
Sarajevo,Bosnia and Herzegovina,3.8,no,yes,43.85,13.38,24.24
ef,Korea,3.2,yes,yes,48.83,10.12,8.24
as,Korea,3.2,yes,yes,54.31,24.68,4.15
afw,Korea,3.2,yes,yes,40.31,27.13,2.24